ID,LIMIT_BAL,MARRIAGE,EDUCATION,SEX,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,TARGET
128,250000,1,1,2,43,7351,6225,3645,0
129,2.00E+05,1,1,2,38,194747,197031,196787,0
130,1.00E+05,1,1,2,36,19164,23828,25138,0
131,420000,1,1,2,34,3717,-2953,-2953,0
132,5.00E+05,1,1,2,36,74615,74399,68761,0
133,70000,1,1,2,36,77021,73268,70275,0
134,50000,1,1,2,35,50664,49163,49811,0
135,20000,1,1,2,30,0,0,0,0
136,490000,1,1,2,42,128821,93626,52074,0
137,160000,1,1,2,34,554,-78,622,0
138,390000,1,1,2,35,30356,32910,78686,0
139,90000,1,1,2,41,101106,96216,89964,0
140,130000,1,1,2,36,84963,83958,84906,0
141,380000,1,1,2,35,59881,61070,62350,0
142,30000,1,1,2,39,20494,19867,21045,0
143,50000,1,1,2,36,48139,49364,50558,0
144,3.00E+05,1,1,2,39,530,25576,1561,0
145,110000,3,1,2,42,316,316,632,0
146,190000,1,1,2,39,181045,184249,158883,0
147,20000,1,1,2,34,18690,12289,5560,0
148,1.00E+05,1,1,2,42,36838,37785,32905,0
149,250000,1,1,2,41,22839,7745,12035,0
150,50000,1,1,2,34,47578,33666,16177,0
151,50000,1,1,2,38,44883,47349,47475,0
152,360000,1,1,2,38,1090,303,0,0
153,240000,1,1,2,38,24469,11511,4670,0
154,80000,1,1,2,44,23833,17815,15140,0
155,50000,1,1,2,38,56672,53540,53321,0
156,160000,1,1,2,39,58943,60210,60755,0
157,20000,1,1,2,38,20464,19322,19004,0
158,50000,1,1,2,38,49772,50537,49556,0
159,80000,1,1,2,34,23998,17442,15948,0
160,260000,1,1,2,38,0,6500,0,0
161,80000,1,1,2,40,33490,35908,29995,0
162,50000,1,1,2,42,22187,23755,21772,0
163,60000,1,1,2,38,728,0,0,0
164,320000,1,1,2,36,3337,9061,7809,0
165,160000,1,1,2,37,3097,-707,-2697,0
166,80000,1,1,2,34,1069,1460,4337,0
167,80000,1,1,2,37,726,726,15400,0
168,20000,1,1,2,35,16849,18686,18877,0
169,220000,1,1,2,40,9649,8300,1590,0
170,120000,1,1,2,43,121522,120084,122250,0
171,280000,1,1,2,37,-26,-26,-26,0
172,1.00E+05,1,1,2,39,59219,60464,61956,0
173,240000,1,1,2,36,227675,181461,186160,0
174,2.00E+05,1,1,2,40,528,13921,14943,0
175,110000,1,1,2,38,81700,84584,60379,0
176,2.00E+05,1,1,2,39,8413,8611,15818,0
177,50000,1,1,2,40,22446,21799,23130,0
178,360000,1,1,2,39,18454,16419,12932,0
179,80000,1,1,2,38,4965,51932,0,0
180,2.00E+05,1,1,2,42,10742,165,1295,0
181,160000,1,1,2,37,160,0,0,0
182,20000,1,1,2,39,17538,16975,17651,0
183,130000,1,1,2,33,89634,90999,94519,0
184,240000,1,1,2,35,188964,183744,168683,0
185,230000,1,1,2,35,63370,64621,65380,0
186,360000,1,1,2,35,949,40,175512,0
187,180000,1,1,2,35,178517,130975,135592,0
188,250000,1,1,2,39,209263,199834,200957,0
189,180000,1,1,2,35,68488,47603,48705,0
190,430000,1,1,2,36,268537,207118,202412,0
191,1.00E+05,1,1,2,43,1872,4490,4056,0
192,270000,1,1,2,41,3291,0,0,0
193,20000,1,1,2,38,2508,3448,-202,0
194,360000,1,1,2,38,12325,14118,38645,0
195,550000,1,1,2,41,67886,67806,66328,0
196,170000,1,1,2,37,23070,186183,164405,0
197,160000,1,1,2,38,86179,83960,61589,0
198,2.00E+05,1,1,2,36,196845,189104,183255,0
199,10000,1,1,2,34,9415,8852,8297,0
200,230000,1,1,2,35,3884,949,2864,0
201,360000,1,1,2,42,1189,-11,-11,0
202,450000,3,1,2,37,0,0,0,0
203,20000,1,1,2,41,18356,0,0,0
204,20000,1,1,2,30,18475,18993,19973,0
205,1.00E+05,1,1,2,39,37767,34457,30036,0
206,440000,1,1,2,31,14234,11061,19669,0
207,150000,1,1,2,33,255207,249205,245393,0
208,40000,1,1,2,34,31475,32663,33813,0
209,60000,1,1,2,33,28406,28781,29219,0
210,70000,1,1,2,34,54428,25085,25282,0
211,250000,1,1,2,37,111204,114954,116608,0
212,80000,1,1,2,40,6808,8686,11628,0
213,50000,1,1,2,43,4821,15898,16862,0
214,50000,1,1,2,40,0,0,0,0
215,20000,1,1,2,42,6249,5965,2417,0
216,150000,1,1,2,36,119613,115349,109765,0
217,80000,1,1,2,34,333,333,333,0
218,50000,1,1,2,37,12236,13324,14403,0
219,2.00E+05,1,1,2,39,5308,3959,13868,0
220,2.00E+05,1,1,2,35,748,49007,11095,0
221,50000,1,1,2,40,42659,35552,31512,0
222,70000,1,1,2,38,65763,38209,27874,0
223,150000,1,1,2,35,3267,3782,316,0
224,50000,1,1,2,37,16639,16041,12151,0
225,2.00E+05,1,1,2,37,92215,94085,96174,0
226,130000,1,1,2,34,122199,125283,120957,0
227,250000,1,1,2,37,2746,1666,3572,0
228,360000,1,1,2,36,1605,1448,0,0
229,3.00E+05,1,1,2,38,49917,49833,49831,0
230,460000,1,1,2,36,460609,427584,373370,0
231,50000,1,1,2,38,49444,50621,49326,0
232,50000,1,1,2,36,39429,39548,39490,0
233,20000,1,1,2,34,13858,15121,16472,0
234,420000,1,1,2,38,387143,24830,25419,0
235,170000,1,1,2,43,17862,17927,18800,0
236,70000,1,1,2,35,32845,31377,31420,0
237,90000,1,1,2,37,7489,5798,15112,0
238,240000,1,1,2,39,230979,222096,220129,0
239,60000,1,1,2,44,29295,30321,31018,0
240,160000,1,1,2,33,151394,153702,156778,0
241,120000,1,1,2,37,12034,12548,12056,0
242,50000,1,1,2,42,50089,41382,36995,0
243,210000,1,1,2,41,155913,165227,161427,0
244,140000,1,1,2,39,109326,111679,113921,0
245,350000,1,1,2,36,208,2906,1000,0
246,80000,1,1,2,37,390,1063,390,0
247,30000,1,1,2,35,29956,30536,30162,0
248,130000,1,1,2,32,31280,32582,33328,0
249,150000,1,1,2,38,126115,128860,131426,0
250,110000,1,1,2,40,99353,90517,78484,0
251,90000,1,1,2,40,8792,7500,0,0
252,80000,1,1,2,39,76117,76660,46137,0
253,20000,1,1,2,38,13639,14711,15462,0
254,220000,1,1,2,39,11636,11004,8392,0
255,120000,1,1,2,39,942,780,390,0
256,120000,1,1,2,35,111441,113869,116110,0
257,60000,1,1,2,34,0,0,0,0
258,110000,1,1,2,35,90929,92303,92114,0
259,1.00E+05,1,1,2,43,390,390,0,0
260,1.00E+05,1,1,2,37,390,390,0,0
261,170000,1,1,2,40,60514,33711,21660,0
262,90000,1,1,2,40,79063,64135,46678,0
263,30000,1,1,2,36,30003,30470,30147,0
264,10000,1,1,2,40,7863,8504,8162,0
265,5.00E+05,1,1,2,33,81252,14979,26089,0
266,180000,1,1,2,35,0,35300,1000,0
267,90000,1,1,2,38,82253,88238,83204,0
268,270000,1,1,2,42,274610,274870,258759,0
269,3.00E+05,1,1,2,30,11613,12893,10841,0
270,10000,1,1,2,35,9406,9968,9385,0
271,2.00E+05,1,1,2,41,7429,24325,40258,0
272,80000,1,1,2,33,47933,39695,42372,0
273,90000,1,1,2,38,86014,92898,92860,0
274,260000,1,1,2,38,241565,244619,127074,0
275,20000,1,1,2,34,19844,19238,20205,0
276,80000,1,1,2,37,48305,48823,41495,0
277,180000,1,1,2,37,119333,123150,0,0
278,210000,1,1,2,34,203273,188955,183774,0
279,70000,1,1,2,35,43462,41845,40476,0
280,310000,1,1,2,36,0,0,326,0
281,220000,1,1,2,36,171182,175334,179024,0
282,230000,1,1,2,39,2789,2942,2520,0
283,80000,1,1,2,38,330,0,330,0
284,50000,1,1,2,35,50342,44659,40893,0
285,2.00E+05,1,1,2,37,157768,108932,110405,0
286,80000,1,1,2,37,68194,24956,22145,0
287,350000,1,1,2,43,257463,256706,257944,0
288,130000,1,1,2,42,1439,3548,1958,0
289,80000,1,1,2,37,4762,6712,1814,0
290,50000,1,1,2,42,49120,50823,49844,0
291,220000,1,1,2,37,2500,0,0,0
292,4.00E+05,1,1,2,38,21012,10107,240244,0
293,80000,1,1,2,29,71604,73316,75039,0
294,90000,1,1,2,39,70559,51550,0,0
295,5.00E+05,1,1,2,38,355251,354394,359522,0
296,170000,1,1,2,38,415,415,415,0
297,240000,1,1,2,45,74270,75959,80473,0
298,120000,1,1,2,40,827,827,827,0
299,170000,1,1,2,37,177956,176155,171665,0
300,150000,1,1,2,34,32428,32136,28151,0
301,1.00E+05,1,1,2,41,0,203,203,0
302,20000,1,1,2,33,19382,20040,17850,0
303,50000,1,1,2,38,50974,51688,50024,0
304,130000,1,1,2,35,32236,41510,-1523,0
305,420000,1,1,2,37,204984,209929,190689,0
306,190000,1,1,2,41,97136,98767,101452,0
307,30000,1,1,2,34,3055,18392,640,0
308,360000,1,1,2,32,5344,9852,5137,0
309,460000,1,1,2,38,7121,7953,8642,0
310,50000,1,1,2,42,46351,20055,18725,0
311,2.00E+05,1,1,2,35,0,0,0,0
312,250000,1,1,2,44,1181,1545,2319,0
313,170000,1,1,2,40,0,0,0,0
314,20000,1,1,2,34,9269,10585,11608,0
315,120000,1,1,2,34,20157,19295,13531,0
316,20000,1,1,2,36,8936,9700,0,0
317,150000,1,1,2,32,28416,37392,44547,0
318,230000,1,1,2,34,4827,5605,7719,0
319,290000,1,1,2,41,33765,2682,470,0
320,80000,1,1,2,37,76118,78451,55339,0
321,90000,1,1,2,41,0,1191,-21,0
322,3.00E+05,1,1,2,42,0,0,0,0
323,3.00E+05,1,1,2,38,9582,6803,7198,0
324,50000,1,1,2,39,25254,26366,510,0
325,1.00E+05,1,1,2,36,97002,102698,97997,0
326,260000,1,1,2,40,251267,254332,257628,0
327,230000,1,1,2,36,0,0,0,0
328,150000,1,1,2,37,125938,132110,142876,0
329,80000,1,1,2,39,65088,65200,61969,0
330,220000,1,1,2,37,4624,2874,1210,0
331,360000,1,1,2,39,23411,27796,30400,0
332,140000,1,1,2,41,66526,65667,67571,0
333,150000,1,1,2,38,0,0,0,0
334,140000,1,1,2,34,330,330,330,0
335,120000,1,1,2,38,116344,111960,115804,0
336,140000,1,1,2,41,132629,135901,138858,0
337,110000,1,1,2,39,105080,107420,107325,0
338,2.00E+05,1,1,2,34,972,-1,-1,0
339,140000,1,1,2,31,0,7933,7283,0
340,140000,1,1,2,41,-53,-53,1117,0
341,50000,1,1,2,42,39859,38781,26823,0
342,90000,1,1,2,34,47585,48575,49922,0
343,50000,1,1,2,31,49385,49527,29550,0
344,30000,1,1,2,42,26725,28289,29489,0
345,180000,1,1,2,38,166569,144637,137261,0
346,2.00E+05,1,1,2,34,3659,1710,5033,0
347,190000,1,1,2,37,141693,143464,146943,0
348,2.00E+05,1,1,2,43,75811,77554,79418,0
349,170000,1,1,2,41,77795,66420,83733,0
350,5.00E+05,1,1,2,35,42081,46495,39489,0
351,140000,1,1,2,43,135206,135316,134943,0
352,240000,1,1,2,35,209848,214477,218142,0
353,350000,1,1,2,41,3860,648,11094,0
354,260000,1,1,2,41,0,0,0,0
355,150000,1,1,2,36,69627,49082,50170,0
356,330000,1,1,2,34,-317,-2066,-3283,0
357,110000,1,1,2,34,-1256,65064,66102,0
358,250000,1,1,2,42,1962,82,82,0
359,30000,1,1,2,37,1596,0,0,0
360,20000,1,1,2,40,15196,16373,17590,0
361,2.00E+05,1,1,2,43,354304,303188,153179,0
362,50000,1,1,2,38,47038,51310,49956,0
363,40000,1,1,2,33,40910,39592,40135,0
364,80000,1,1,2,43,43024,9821,600,0
365,180000,1,1,2,39,0,0,0,0
366,2.00E+05,1,1,2,37,1041,1053,3042,0
367,320000,1,1,2,38,11639,7508,5591,0
368,50000,1,1,2,40,25922,25154,16820,0
369,50000,1,1,2,39,22616,21415,20769,0
370,150000,1,1,2,40,135587,138473,141297,0
371,1.00E+05,1,1,2,31,93411,4081,0,0
372,1.00E+05,1,1,2,38,99627,101079,69971,0
373,20000,1,1,2,30,11893,12906,12902,0
374,170000,1,1,2,34,164214,165825,167008,0
375,360000,1,1,2,39,23900,0,0,0
376,320000,1,1,2,40,1043,0,20012,0
377,10000,1,1,2,40,10281,9949,8838,0
378,120000,1,1,2,35,32317,33496,34481,0
379,180000,1,1,2,39,1651,0,0,0
380,170000,1,1,2,37,51401,47742,45529,0
381,50000,1,1,2,42,0,0,0,0
382,190000,1,1,2,37,49541,48458,46423,0
383,50000,1,1,2,40,50148,50761,35777,0
384,30000,1,1,2,43,6003,4912,6214,0
385,4.00E+05,1,1,2,40,6389,59407,26616,0
386,490000,1,1,2,38,0,0,244033,0
387,150000,1,1,2,36,146465,147331,146999,0
388,240000,1,1,2,40,24615,27500,0,0
389,130000,1,1,2,36,0,0,0,0
390,240000,1,1,2,39,18336,19648,11138,0
391,50000,1,1,2,40,94962,49032,50135,0
392,160000,1,1,2,35,96515,139439,141416,0
393,2.00E+05,1,1,2,39,3528,1190,1958,0
394,50000,1,1,2,40,45750,1655,8425,0
395,20000,1,1,2,41,19458,18786,16249,0
396,80000,1,1,2,29,45524,62969,36217,0
397,160000,1,1,2,39,205134,46181,47242,0
398,130000,1,1,2,42,0,870,390,0
399,240000,1,1,2,33,280110,281104,286048,0
400,50000,1,1,2,36,17868,18028,38126,0
401,90000,1,1,2,41,2579,2516,0,0
402,30000,1,1,2,36,25344,26614,27878,0
403,50000,1,1,2,36,31336,32039,32714,0
404,380000,1,1,2,34,124486,106065,97979,0
405,5.00E+05,1,1,2,36,22369,14100,24754,0
406,1.00E+05,1,1,2,34,95893,97040,65668,0
407,2.00E+05,1,1,2,38,5838,2256,9552,0
408,120000,1,1,2,36,11296,12200,11761,0
409,30000,1,1,2,35,2208,7808,0,0
410,5.00E+05,1,1,2,41,24239,36674,1558,0
411,70000,1,1,2,37,24345,25349,26694,0
412,10000,1,1,2,36,15915,9050,9901,0
413,50000,1,1,2,36,14040,14903,7288,0
414,80000,1,1,2,40,150651,52233,81162,0
415,170000,1,1,2,42,158954,139482,139869,0
416,310000,1,1,2,39,310392,301861,225003,0
417,90000,1,1,2,31,58979,64004,65298,0
418,180000,1,1,2,36,47517,26137,18177,0
419,60000,1,1,2,35,58844,43427,30408,0
420,50000,1,1,2,33,42156,40584,33777,0
421,4.00E+05,1,1,2,37,187790,176294,190256,0
422,330000,1,1,2,32,130797,112383,79505,0
423,30000,1,1,2,34,24794,25017,24117,0
424,2.00E+05,1,1,2,40,39929,32910,17965,0
425,150000,1,1,2,37,104014,108229,109374,0
426,180000,1,1,2,39,114556,116155,120264,0
427,450000,1,1,2,39,144396,150396,396,0
428,250000,1,1,2,34,116861,97569,90937,0
429,20000,1,1,2,36,0,0,0,0
430,50000,1,1,2,33,0,1118,667,0
431,5.00E+05,1,1,2,37,91718,93338,96781,0
432,360000,1,1,2,39,297275,307394,314534,0
433,230000,1,1,2,38,2873,29488,65868,0
434,260000,1,1,2,37,207977,207713,197120,0
435,180000,1,1,2,40,109030,177633,139415,0
436,260000,1,1,2,39,229,674,476,0
437,210000,1,1,2,39,1024,264,264,0
438,20000,1,1,2,37,17974,32768,16057,0
439,180000,1,1,2,40,51496,51588,51869,0
440,2.00E+05,1,1,2,36,150204,153189,156406,0
441,2.00E+05,1,1,2,42,149351,108152,87537,0
442,360000,1,1,2,34,28291,31055,33788,0
443,240000,1,1,2,36,236883,241574,244010,0
444,20000,1,1,2,40,15912,17272,20565,0
445,3.00E+05,1,1,2,38,311,830,225,0
446,280000,1,1,2,37,265120,238661,223383,0
447,20000,1,1,2,34,16706,18342,17755,0
448,50000,1,1,2,36,1156,316,316,0
449,2.00E+05,1,1,2,35,34500,10706,3835,0
450,2.00E+05,1,1,2,35,488,878,488,0
451,60000,1,1,2,41,11718,4878,18347,0
452,50000,1,1,2,35,3238,4672,2865,0
453,1.00E+05,1,1,2,40,94657,81175,63464,0
454,210000,1,1,2,37,103591,104103,70449,0
455,420000,1,1,2,38,115505,113724,112976,0
456,110000,1,1,2,39,13962,15219,15424,0
457,1.00E+05,1,1,2,40,74053,75040,76231,0
458,190000,1,1,2,37,115608,138097,130898,0
459,50000,1,1,2,36,48593,48653,15433,0
460,70000,1,1,2,38,16030,15502,12637,0
461,2.00E+05,1,1,2,38,788,165,1520,0
462,360000,1,1,2,35,119138,100553,96679,0
463,530000,1,1,2,42,6458,5598,36532,0
464,4.00E+05,1,1,2,40,0,8235,0,0
465,490000,1,1,2,39,422483,430538,392670,0
466,70000,1,1,2,40,49605,51804,53041,0
467,120000,1,1,2,36,-325,279,-117,0
468,40000,1,1,2,38,36712,37403,18688,0
469,180000,1,1,2,41,3060,2337,766,0
470,50000,1,1,2,40,43342,44441,45390,0
471,1.00E+05,1,1,2,32,96469,99750,100783,0
472,140000,1,1,2,44,11285,14096,12108,0
473,290000,1,1,2,36,1994,390,390,0
474,3.00E+05,1,1,2,42,110350,102556,103834,0
475,70000,1,1,2,39,40498,41192,42274,0
476,320000,1,1,2,39,3615,3707,5406,0
477,170000,1,1,2,40,0,0,0,0
478,80000,1,1,2,40,79390,79835,81229,0
479,60000,1,1,2,36,50210,2846,18862,0
480,60000,1,1,2,41,58899,55834,55993,0
481,30000,1,1,2,43,20985,20393,20399,0
482,50000,1,1,2,37,13538,9199,6879,0
483,130000,1,1,2,37,122750,118319,61466,0
484,170000,1,1,2,34,6336,7505,8522,0
485,60000,1,1,2,37,0,0,0,0
486,80000,1,1,2,37,28590,27635,26808,0
487,170000,1,1,2,37,102477,104499,106657,0
488,260000,1,1,2,38,260,3000,0,0
489,20000,1,1,2,43,18196,19495,-280,0
490,210000,1,1,2,40,396,590,2042,0
491,90000,1,1,2,38,57846,50663,45515,0
492,50000,1,1,2,35,49713,50581,46567,0
493,1.00E+05,1,1,2,39,63984,65917,67673,0
494,20000,1,1,2,39,390,780,0,0
495,70000,1,1,2,34,24510,25807,26578,0
496,2.00E+05,1,1,2,36,19572,28858,52512,0
497,180000,1,1,2,34,170126,171247,156803,0
498,110000,1,1,2,37,109461,109473,81439,0
499,50000,1,1,2,36,49017,50690,47487,0
500,120000,1,1,2,39,75796,76004,67187,0
501,160000,1,1,2,42,50901,53859,55814,0
502,2.00E+05,1,1,2,39,0,1516,11533,0
503,110000,1,1,2,37,36802,38210,40259,0
504,230000,1,1,2,37,1240,2078,380,0
505,30000,1,1,2,40,3165,13538,390,0
506,290000,1,1,2,35,53476,52089,49979,0
507,190000,1,1,2,38,79838,81523,83530,0
508,3.00E+05,1,1,2,39,25193,34242,35228,0
509,210000,1,1,2,35,1890,3037,2429,0
510,2.00E+05,1,1,2,43,25929,1582,21133,0
511,320000,1,1,2,40,29227,49177,143588,0
512,50000,1,1,2,35,47381,48697,48322,0
513,120000,1,1,2,43,116983,117616,74853,0
514,2.00E+05,1,1,2,35,0,0,6331,0
515,4.00E+05,1,1,2,42,325,5581,2833,0
516,1.00E+05,1,1,2,43,7130,6873,8101,0
517,480000,1,1,2,42,29112,43015,17223,0
518,210000,1,1,2,34,66635,56729,73783,0
519,230000,1,1,2,46,131550,132114,133281,0
520,5.00E+05,1,1,2,37,8864,1462,18653,0
521,150000,1,1,2,39,1464,1576,264,0
522,2.00E+05,1,1,2,33,0,0,2317,0
523,30000,1,1,2,41,150,150,150,0
524,130000,1,1,2,39,109592,113508,115633,0
525,50000,1,1,2,38,51116,49042,54439,0
526,60000,1,1,2,33,30010,34169,38551,0
527,50000,1,1,2,37,13436,14460,15472,0
528,150000,1,1,2,35,32263,26283,17897,0
529,250000,1,1,2,41,165,165,165,0
530,460000,1,1,2,37,7677,21748,4032,0
531,270000,1,1,2,37,9213,2283,3203,0
532,180000,1,1,2,42,2096,3775,5570,0
533,180000,1,1,2,35,0,2039,2000,0
534,110000,1,1,2,34,58301,57861,47409,0
535,3.00E+05,1,1,2,37,131957,134790,137637,0
536,210000,1,1,2,39,0,795,588,0
537,180000,1,1,2,41,9509,15419,14188,0
538,280000,1,1,2,37,2180,251,4250,0
539,70000,1,1,2,40,48421,49620,49976,0
540,210000,1,1,2,36,0,0,1008,0
541,230000,1,1,2,32,20356,21504,21729,0
542,50000,1,1,2,36,16092,12352,-1618,0
543,450000,1,1,2,34,1000,0,0,0
544,340000,1,1,2,42,14087,11007,16971,0
545,210000,1,1,2,39,67931,65289,64778,0
546,170000,1,1,2,38,22138,23227,18894,0
547,330000,1,1,2,37,37587,39183,39305,0
548,5.00E+05,1,1,2,41,56422,110616,110340,0
549,30000,1,1,2,35,18796,23153,27439,0
550,330000,1,1,2,37,11006,4160,48549,0
551,360000,1,1,2,38,25988,1815,22648,0
552,380000,1,1,2,37,384846,359926,349753,0
553,80000,1,1,2,33,76540,81373,79496,0
554,240000,1,1,2,40,245553,244958,245148,0
555,60000,1,1,2,32,995,7348,7242,0
556,230000,1,1,2,40,0,0,0,0
557,290000,1,1,2,40,2348,10421,566,0
558,120000,1,1,2,35,90041,86140,87941,0
559,2.00E+05,1,1,2,36,3215,78,2012,0
560,340000,1,1,2,39,68616,6691,10961,0
561,50000,1,1,2,41,45079,45741,47561,0
562,60000,1,1,2,39,60672,58929,60335,0
563,350000,1,1,2,41,10362,42541,10723,0
564,50000,1,1,2,34,48905,49764,36535,0
565,30000,1,1,2,36,3415,4330,0,0
566,30000,1,1,2,43,3275,5000,5235,0
567,10000,1,1,2,41,5236,7202,7434,0
568,160000,1,1,2,41,550,550,550,0
569,350000,1,1,2,39,255751,275156,260963,0
570,350000,1,1,2,38,325,294,6574,0
571,50000,1,1,2,40,4323,3851,2808,0
572,70000,1,1,2,40,25856,13737,7716,0
573,230000,1,1,2,39,104001,106155,111244,0
574,230000,1,1,2,38,26644,27352,28121,0
