a,b,c,d
0.960632857,0.101169865,0.735281169,0.71115153
0.694829577,0.548764811,0.597129136,0.58622434
0.254669597,0.037597417,0.184925374,0.315207791
0.353869089,0.692358125,0.341327144,0.0282292
0.664349476,0.467283154,0.817716145,0.630337435
0.75503308,0.510660644,0.218776415,0.222353145
0.151453097,0.04019387,0.753007389,0.369041728
0.976068511,0.283283301,0.410155826,0.86169018
0.029854736,0.787774749,0.231300563,0.939687168
0.436028271,0.496525384,0.835057734,0.795213632
0.309389086,0.46716935,0.871500308,0.865748018
0.245691436,0.399016827,0.301659887,0.501876139
0.773366902,0.789840049,0.054664367,0.634230481
0.435594655,0.215592673,0.69455664,0.066476846
0.953181488,0.572914105,0.328422199,0.019349446
0.855453151,0.404871478,0.819108451,0.886942522
0.223784597,0.631651339,0.598675968,0.5453829
0.752196802,0.93832412,0.268323677,0.92369333
0.253842033,0.355655045,0.991831381,0.404592951
0.85129434,0.814575465,0.230039176,0.761676492
0.90897762,0.063015646,0.688639152,0.143418841
0.666897284,0.990646634,0.883038907,0.123668151
0.410120996,0.708690157,0.218525414,0.399795576
0.788010707,0.739435229,0.938990378,0.711356215
0.163175238,0.774147522,0.572470132,0.859481297
0.545747344,0.372932811,0.518840392,0.73868248
0.690896803,0.082806279,0.067233929,0.246713286
0.852062385,0.596971047,0.769732728,0.197406587
0.257445156,0.662146883,0.84128051,0.865181748
0.019815221,0.244399529,0.282548588,0.043225114
0.519024275,0.983160867,0.777134175,0.671828467
0.00041033,0.120736124,0.958094514,0.49285436
0.765613058,0.984040783,0.42421763,0.525319994
0.203411406,0.599105557,0.702304249,0.474772319
0.740090005,0.172710948,0.424099929,0.979339343
0.25820029,0.272866819,0.632205463,0.152386183
0.532853748,0.531175557,0.712467607,0.754390041
0.404997513,0.070537123,0.541434957,0.860252535
0.716740569,0.765536089,0.515267174,0.919077044
0.889610572,0.625485507,0.294096735,0.710977755
0.429314276,0.075004407,0.87651651,0.215296228
0.258980199,0.061608818,0.305652072,0.982334084
0.790231027,0.789429879,0.482089215,0.620230644
0.224662844,0.121485972,0.461033119,0.348366243
0.577427634,0.118289786,0.413167601,0.60952288
0.373249996,0.676297541,0.919954477,0.6727505
0.711766018,0.793955046,0.898307778,0.303182621
0.53698797,0.067255068,0.521581224,0.849780143
0.472199764,0.182383538,0.641349613,0.634917485
0.146248002,0.27381357,0.822439347,0.269378775
0.679448664,0.777012108,0.818370703,0.319469365
0.262568944,0.81554104,0.769636213,0.343059716
0.953467512,0.410443218,0.800605659,0.005469419
0.226975302,0.356278143,0.423987673,0.566054747
0.465962188,0.616676502,0.651986979,0.852360297
0.224801452,0.871627715,0.953869492,0.036617369
0.087340347,0.681859866,0.71180998,0.027208495
0.226751176,0.509322517,0.252776304,0.963986341
0.858811685,0.010648951,0.861407366,0.662565327
0.403263352,0.719033601,0.468496441,0.693198985
0.648360462,0.582175567,0.116379586,0.83199553
0.331649629,0.76663676,0.452943866,0.971945207
0.248139231,0.162161624,0.920552794,0.074227653
0.774866926,0.508208736,0.381068004,0.006379281
0.00494588,0.528729904,0.222053485,0.350569751
0.591143058,0.828127271,0.105571051,0.396075206
0.469188151,0.559833717,0.615395355,0.326410486
0.526783544,0.892129749,0.796934592,0.607928404
0.657521828,0.613334469,0.026674317,0.679447356
0.866819058,0.467756425,0.780649341,0.849673929
0.124464875,0.367711825,0.747766813,0.005027986
0.326904788,0.830106677,0.558388562,0.350430916
0.218788407,0.308903063,0.26063368,0.199408884
0.477251158,0.451949138,0.939053858,0.284142761
0.083754309,0.751302896,0.103303655,0.814002838
0.751832257,0.358913297,0.626080839,0.57184552
0.839355154,0.979829666,0.161944113,0.905080475
0.29125477,0.810205547,0.029132319,0.315855743
0.914865632,0.835890775,0.1395937,0.110683221
0.646240872,0.206677675,0.755624004,0.0804999
0.32298903,0.442109272,0.977414193,0.482691638
0.198995372,0.648388155,0.960394924,0.74603987
0.592961625,0.503613888,0.186430204,0.373461521
0.860645527,0.944901741,0.149895141,0.408717617
0.091177124,0.648443612,0.744805107,0.47185523
0.648145377,0.101285097,0.119647369,0.89385925
0.85866453,0.434340047,0.19382025,0.470139858
0.575260857,0.528949297,0.170952354,0.808798455
0.040993225,0.702712507,0.324780884,0.466522255
0.854590065,0.900092484,0.671182273,0.463738363
0.978434956,0.478150866,0.316534084,0.840910406
0.089650863,0.356157988,0.679037508,0.576862662
0.822147161,0.220445919,0.622025707,0.635621759
0.965928401,0.713713331,0.424689242,0.882538949
0.265200418,0.556562484,0.713894299,0.043138671
0.720490639,0.193002618,0.555307834,0.848623095
0.313702013,0.062137887,0.110452174,0.268482639
0.333913162,0.222860516,0.930208506,0.189699217
0.47371881,0.27649917,0.918582911,0.907732156
0.164367536,0.413503635,0.119111063,0.554603884
0.477940409,0.26699235,0.631460237,0.450150798
0.752672879,0.623583286,0.070950399,0.653387956
0.543147485,0.6121835,0.168726165,0.317217976
0.227337162,0.865680153,0.582724825,0.073283069
0.126114912,0.570637631,0.280986975,0.958244123
0.596873927,0.395421008,0.998869247,0.378274303
0.777175432,0.269718215,0.640398899,0.321370544
0.593221449,0.695937175,0.81823787,0.842587576
0.615032376,0.830043849,0.011941853,0.864748866
0.202932607,0.250148592,0.201128137,0.03721097
0.686393636,0.376117918,0.282819924,0.262456891
0.496567216,0.767591643,0.388797121,0.94089617
0.141109327,0.766736643,0.515415057,0.887115517
0.325177275,0.13810805,0.88172862,0.892377044
0.131184153,0.472481374,0.696518543,0.880927153
0.954555396,0.691155506,0.346136348,0.457713525
0.604008642,0.404927832,0.557633556,0.458469006
0.366427939,0.921097764,0.925939618,0.618737359
0.692692167,0.705645518,0.494331243,0.78954389
0.505282386,0.271060205,0.811675461,0.13565063
0.732390228,0.769800236,0.71349016,0.164144908
0.132595852,0.6448587,0.044208192,0.718543299
0.808175966,0.458416619,0.934434926,0.494265934
0.577188597,0.588146718,0.639902216,0.377186958
0.487583521,0.318129871,0.904726303,0.043530035
0.042248321,0.721671306,0.770225149,0.146605202
0.906805106,0.714242378,0.649246352,0.808953715
0.225098441,0.714232693,0.886303481,0.277516639
0.927654059,0.947217896,0.323854749,0.53139742
0.777502625,0.366416108,0.891350779,0.712958537
0.701804619,0.475405155,0.148310972,0.962905801
0.689441797,0.475356128,0.270651818,0.419800329
0.795374283,0.017607321,0.923925737,0.913289908
0.819184879,0.711886898,0.147190233,0.146487856
0.045339409,0.074038167,0.037202776,0.500600627
0.34411923,0.898714028,0.197020932,0.513983027
0.09985413,0.389865175,0.404529627,0.010392376
0.988879672,0.74900909,0.259629419,0.458434599
0.457001145,0.680664208,0.394161655,0.40932639
0.228707421,0.496198852,0.045765444,0.634076064
0.291971014,0.232786419,0.459347917,0.805534031
0.154720554,0.132605002,0.300054183,0.62631737
0.385593597,0.160021073,0.119271104,0.636489406
0.51658747,0.105895366,0.836027612,0.542524191
0.065061456,0.262435046,0.605993893,0.208245536
0.527019364,0.823772823,0.289215634,0.887312634
0.189194844,0.273473138,0.555842619,0.26130286
0.956031373,0.232334553,0.710922891,0.005298263
0.586997431,0.551839109,0.96318383,0.874822441
0.839470782,0.146495685,0.424966529,0.647964207
0.175950676,0.270795313,0.784576083,0.474558462
0.48854926,0.125857025,0.805254018,0.419289856
0.621255697,0.397235818,0.072873992,0.901890176
0.808743929,0.221191336,0.258235945,0.306031532
0.812483682,0.705963435,0.13599942,0.16436307
0.112708166,0.898521762,0.604783075,0.578056721
0.247857794,0.29551453,0.581997951,0.451527684
0.934186712,0.524103812,0.734909317,0.108213075
0.96945658,0.725665725,0.440541845,0.345287548
0.667088523,0.746403569,0.896870715,0.234606783
0.878747715,0.382032824,0.456379689,0.648507993
0.642440454,0.576130748,0.433140893,0.807004099
0.821185187,0.458036129,0.899692937,0.571366453
0.212063974,0.39122681,0.949398393,0.507178597
0.194067005,0.615079984,0.288358777,0.970882399
0.804016761,0.65479169,0.524214039,0.008780205
0.22082426,0.11535424,0.087811525,0.438316058
0.772812397,0.804282833,0.778690715,0.3898857
0.010486112,0.672779917,0.076818046,0.956760928
0.266886438,0.145256883,0.570739269,0.928043972
0.030610282,0.905536066,0.03488749,0.05714269
0.888634517,0.730950303,0.477686237,0.567017442
0.838297057,0.34554793,0.372347616,0.181389898
0.904784889,0.798964703,0.140146658,0.56769802
0.322570335,0.867562309,0.985349087,0.331352173
0.883311895,0.221982671,0.405394217,0.746041309
0.644077003,0.614643838,0.270259534,0.651711643
0.437000877,0.195664033,0.630774096,0.133005728
0.025545985,0.132593376,0.33063958,0.678348612
0.117457609,0.046552977,0.015704961,0.332472162
0.944670895,0.792220228,0.135321158,0.568068047
0.998110534,0.178953877,0.414890859,0.978757174
0.218295737,0.113693988,0.47120359,0.581033186
0.315875351,0.508766658,0.949177716,0.45258601
0.526006834,0.716535051,0.414549903,0.94056379
0.62707352,0.014296088,0.3554936,0.471107391
0.492167424,0.791806959,0.045439755,0.141268276
0.9551075,0.760908461,0.751785398,0.936253319
0.266490528,0.106606451,0.65956734,0.818226363
0.713495628,0.792888641,0.165443491,0.461125701
0.216890924,0.287646317,0.965754261,0.939531786
0.771934365,0.473541764,0.399747396,0.467292092
0.055858469,0.526353515,0.547040727,0.919614581
0.323384543,0.318058934,0.607742423,0.586573878
0.765256635,0.581821555,0.51720694,0.185991636
0.00346848,0.22258968,0.986248018,0.139820005
0.501779092,0.407734413,0.057869022,0.023463463
0.589929963,0.934706366,0.100177793,0.050311897
0.755254189,0.869265991,0.195764561,0.38721359
0.020654345,0.518702713,0.987538093,0.301318484
0.651496938,0.460720407,0.594442754,0.695483881
0.918513019,0.042931061,0.83637489,0.91699467
0.015759907,0.624769294,0.090382676,0.051579243
0.860763773,0.973661678,0.081118271,0.866565692
0.666744973,0.769647198,0.654516748,0.183635214
0.148904154,0.588264207,0.47488324,0.140124276
0.922677223,0.51104066,0.569478804,0.746792788
0.211315391,0.682560086,0.712576806,0.408325814
0.606735124,0.593672076,0.129563263,0.398952084
0.075034238,0.76929014,0.50802486,0.113269483
0.677985365,0.878536874,0.244915922,0.698497837
0.563929084,0.134299339,0.418797126,0.11511037
0.47719487,0.668690234,0.094367366,0.283234651
0.113895078,0.954881948,0.431620799,0.132601413
0.693384047,0.856977232,0.943813687,0.255029804
0.766743231,0.709266119,0.204675254,0.004090582
0.603364031,0.519478258,0.269802344,0.025273385
0.750095862,0.681608957,0.062884415,0.66255462
0.140768144,0.40002472,0.398640022,0.86235952
0.909050353,0.734140757,0.206275215,0.022666933
0.14164469,0.466634826,0.192266494,0.689575919
0.638414683,0.826777677,0.824824192,0.966791317
0.599528645,0.612866129,0.807650896,0.564309114
0.366088506,0.651689444,0.08279706,0.024946816
0.53430849,0.449004103,0.548579702,0.877074606
0.75918885,0.764177282,0.862763187,0.790588149
0.116462983,0.712586115,0.178508938,0.04990461
0.573639977,0.247799459,0.835349531,0.609835364
0.399958911,0.387551381,0.320666789,0.86218211
0.169634427,0.165558853,0.004710043,0.036803811
0.891391319,0.493155315,0.72125551,0.53516799
0.192609521,0.889497779,0.927789603,0.926629229
0.802440017,0.157282264,0.631131061,0.894066925
0.13040641,0.475989242,0.404747668,0.815186346
0.990475313,0.192966479,0.664993213,0.389071624
0.068359502,0.917950932,0.999708542,0.005016089
0.228411291,0.203495705,0.905340713,0.291294711
0.238074123,0.743370724,0.279720756,0.705511955
0.298001575,0.152812491,0.292235176,0.474483173
0.932315165,0.901600567,0.048592957,0.404067584
0.002001586,0.857385673,0.835630619,0.271346749
0.647615857,0.761932544,0.938784464,0.502569352
0.357129673,0.355350131,0.68466366,0.352919303
0.952874498,0.907004048,0.792268656,0.644230044
0.425940454,0.763568675,0.039866196,0.850162909
0.161519923,0.027644574,0.994041422,0.301455318
0.819263197,0.53153044,0.881924252,0.714085309
0.364004995,0.891680247,0.610690894,0.198600849
0.032414018,0.59979481,0.345907782,0.84292747
0.860296621,0.749845075,0.724915923,0.367477515
0.124797473,0.790080465,0.559061864,0.695729011
0.422654776,0.766213105,0.031497479,0.712639047
0.717960946,0.44433664,0.733819708,0.619870509
0.913007979,0.388142202,0.920491488,0.778286529
0.944615755,0.82292039,0.378154087,0.947451699
0.46922702,0.362441153,0.944079255,0.663268829
0.357295933,0.09094932,0.689499368,0.660423954
0.829523095,0.379870437,0.219784181,0.984531911
0.905409774,0.679524492,0.805822702,0.862053519
0.472069546,0.987757899,0.312003814,0.427401688
0.378861359,0.228409025,0.193138976,0.534690514
0.802322468,0.299830555,0.230279866,0.372802122
0.230481879,0.670598942,0.778238257,0.414538375
0.786597968,0.62566427,0.697597033,0.330470393
0.280415253,0.750684266,0.935091786,0.873186191
0.773332032,0.068306312,0.727537719,0.824395645
0.800071702,0.982748024,0.109313154,0.764640333
0.159016502,0.960786919,0.767241849,0.885769096
0.390778307,0.265665028,0.724765126,0.870345905
0.468444105,0.503585173,0.727326728,0.438659581
0.608266174,0.883548797,0.264807578,0.50975282
0.168858922,0.458793323,0.068223892,0.694406128
0.884502325,0.356267426,0.248547125,0.928665613
0.69199129,0.52592678,0.502836215,0.77587619
0.090728907,0.27542487,0.8794451,0.592942505
0.804541715,0.717332184,0.400974613,0.357632907
0.859295614,0.888546687,0.665278142,0.466189259
0.940625582,0.953534849,0.856678045,0.091475726
0.211344386,0.378709072,0.89184503,0.875607116
0.170564461,0.594716767,0.427137392,0.823125377
0.681696503,0.917424288,0.943374551,0.385043022
0.132007313,0.95442522,0.925305744,0.173309803
0.179729907,0.579873746,0.490450654,0.072735165
0.468635591,0.150294445,0.462780717,0.807044804
0.757489657,0.982488939,0.48131439,0.256937466
0.903162405,0.654017986,0.575647798,0.900018099
0.706778868,0.529001351,0.272145778,0.648058222
0.525755505,0.820227704,0.975525244,0.09150669
0.294111878,0.316035401,0.079383512,0.928453648
0.373935591,0.036544202,0.673974329,0.952812097
0.29419617,0.51805441,0.904583565,0.749050588
0.531011965,0.620820327,0.474260629,0.367650776
0.51255606,0.723086818,0.216903269,0.702976545
0.232716847,0.636427765,0.279577506,0.281104383
0.897988769,0.199874399,0.086139675,0.964849406
0.129445812,0.728135824,0.821170052,0.142492798
0.524870511,0.052352022,0.694737517,0.341736527
0.105957432,0.078266177,0.353377834,0.426457307
0.050009606,0.018514897,0.94136084,0.791610587
0.178643206,0.318807288,0.607184069,0.824862169
0.94146489,0.478503035,0.518844072,0.356541333
0.122195615,0.22693565,0.73318708,0.00285055
0.571655493,0.623311498,0.579058404,0.277360302
0.173066795,0.456434763,0.862108197,0.273265762
0.100998387,0.896315421,0.299500649,0.250762415
0.22151007,0.209682865,0.173572966,0.903781264
0.333012168,0.267720718,0.136034705,0.614333623
0.875525311,0.447862364,0.506922887,0.176168923
0.436056652,0.824950631,0.692826369,0.915774583
0.704468113,0.7095402,0.057292213,0.034048683
0.883952051,0.650432448,0.379444244,0.21418711
0.396751321,0.33258723,0.314058788,0.077997715
0.701549056,0.515682299,0.231801177,0.716613011
0.82144396,0.440771787,0.373299934,0.060837378
0.381490712,0.755015514,0.460697701,0.279687244
0.481001513,0.571308074,0.957126797,0.791138238
0.139983044,0.33479187,0.396570179,0.527043842
0.404355541,0.578824999,0.125869007,0.386126526
0.838957388,0.8884923,0.85400788,0.258005933
0.567489927,0.393570322,0.512303767,0.082978256
0.664901029,0.504739721,0.445537809,0.087971765
0.741921408,0.126242596,0.999607036,0.065640687
0.320571661,0.316599358,0.154592895,0.858176486
0.093013347,0.029335008,0.656555674,0.573934672
0.045262453,0.811778406,0.506634431,0.805996542
0.801908261,0.107008973,0.720469841,0.768303115
0.02096199,0.425181927,0.255974197,0.730689775
0.277961915,0.849262018,0.345371323,0.159437802
0.718944267,0.820079552,0.565696464,0.387454695
0.826840114,0.233865933,0.284507892,0.940600606
0.230392405,0.761442391,0.939289453,0.908520849
0.298387292,0.577983841,0.832511743,0.989946389
0.832687486,0.478441918,0.457762938,0.636169862
0.22261036,0.74167468,0.245442159,0.580785672
0.957149102,0.651136955,0.411185456,0.866221428
0.282431467,0.450733784,0.758860051,0.003965656
0.070511883,0.476135101,0.580447624,0.38936725
0.604156182,0.883594094,0.886880959,0.49618478
0.675939718,0.034009359,0.459143732,0.281948988
0.584852642,0.063018641,0.735219691,0.872664954
0.354000583,0.390330409,0.777820646,0.296387344
0.252384143,0.598493974,0.177458134,0.053007544
0.49549383,0.05875264,0.393504171,0.432859491
0.919796857,0.515711969,0.033718531,0.504329889
0.298933211,0.703434383,0.202692101,0.643228994
0.77796762,0.610689302,0.900042056,0.027795971
0.690483349,0.279019089,0.094857519,0.881459472
0.523531363,0.236100587,0.954658661,0.349726003
0.113414451,0.242837128,0.933704798,0.650708988
0.688180997,0.535424414,0.076962116,0.426623342
0.692469761,0.237855209,0.870601759,0.075812664
0.528704746,0.226121817,0.055834655,0.13196176
0.324729592,0.215201124,0.935302416,0.794114798
0.118035874,0.264574391,0.629205845,0.824062003
0.227021328,0.660208501,0.85135263,0.478675895
0.466157002,0.752999816,0.115390872,0.279711839
